DateTime,AddedIPs,RemovedIPs
1561691798,29,685
1561693702,6,483
1561695607,3,18
1561697551,26,59
1561699460,7,129
1561701381,3,21
1561703313,8,41
1561705257,5,6
1561707139,5,13
1561709077,6,25
1561710984,5,5
1561712895,9,7
1561714848,25,11
1561716750,37,11
1561718655,17,12
1561720595,11,10
1561722506,4,14
1561724422,3,22
1561726333,3,9
1561728287,75,17
1561730175,247,42
1561732337,37,43
1561734272,460,7
1561736319,1477,8
1561738362,590,11
1561740287,307,3
1561742185,225,83
1561744096,428,65
1561746038,180,4
1561747959,240,10
1561749853,333,4
1561751785,349,4
1561753716,239,7
1561755667,229,4
1561757565,312,10
1561759496,247,7
1561761456,342,5
1561763300,88,66
1561765456,3,117
1561767380,9,5
1561769303,13,7
1561771236,9,5
1561773160,4,3
1561775072,8,3
1561776973,7,6
1561778894,5,22
1561781800,13,7
1561783747,5,42
1561785640,4,6
1561787552,5,3
1561789462,74,3
1561791369,84,2
1561793292,56,5
1561795282,59,7
1561797153,6,3
1561799096,81,5
1561800988,8,9
1561802934,2,11
1561804812,5,2
1561806758,3,8
1561808680,6,5
1561810578,7,3
1561812497,2,1
1561814441,6,3
1561816342,4,8
1561818252,3,302
1561820203,10,400
1561822114,10,1029
1561824107,1,1013
1561825937,30,196
1561827876,236,293
1561829805,86,396
1561831728,46,213
1561833884,25,243
1561835802,110,259
1561837702,36,403
1561839639,53,203
1561841569,158,210
1561843477,150,318
1561845371,5,252
1561847287,6,309
1561849243,12,156
1561851188,10,7
1561853097,5,12
1561855009,5,13
1561856932,10,13
1561858808,8,8
1561860738,10,11
1561862664,10,8
1561864604,6,7
1561866513,2,6
1561868443,10,15
1561870353,7,7
1561872288,8,6
1561874184,5,3
1561876351,9,202
1561878273,20,183
1561880177,15,152
1561882113,16,129
1561884025,11,21
1561885936,209,101
1561887851,11,3
1561889813,8,6
1561891691,4,3
1561893608,6,7
1561895562,7,10
1561897452,9,9
1561899368,14,7
1561901318,14,3
1561903228,4,9
1561905170,10,6
